col_0,col_1,col_2
0.14,84.92,23.441
0.07,84.745,23.441
0.0,84.57,23.441
0.02,84.41,23.433
0.005000000000000001,83.675,23.429499999999997
-0.01,82.94,23.426
-0.07,83.12,23.417
-0.19,82.2,23.415
-0.11,81.44,23.414
0.03,82.33,23.408
0.02,81.36,23.406
-0.03,81.21,23.405
-0.04,82.1,23.406
-0.04,82.23,23.407
-0.02,81.41,23.406
-0.01,81.41,23.403
0.01,81.92,23.397
0.02,82.13,23.393
0.01,82.53,23.388
0.04,82.13,23.384
0.01,82.18,23.381
0.03,82.28,23.372
0.01,81.92,23.361
0.03,81.95,23.353
0.04,82.1,23.345
0.03,82.53,23.336
0.0,82.23,23.331
0.02,82.96,23.323
0.03,83.395,23.313499999999998
0.04,83.83,23.304
0.03,83.755,23.301499999999997
0.02,83.68,23.299
0.07,83.37,23.296
0.08,82.69,23.295
0.08,83.02,23.295
0.05,82.81,23.296
-0.02,83.52,23.294
0.0,82.53,23.287
-0.07,82.08,23.282
-0.06,82.15,23.277
-0.01,82.35,23.27
0.02,82.46,23.263
0.02,82.56,23.256
0.02,82.63,23.253
0.06,82.89,23.247
-0.02,82.84,23.242
0.01,82.69,23.247
0.03,82.86,23.243
0.02,83.7,23.238
-0.07,83.68,23.233
-0.03,84.26,23.231
0.0,84.23,23.225
0.0,83.83,23.221
-0.02,84.72,23.215
0.04,85.0,23.212
0.05,84.97,23.21
0.05,84.57,23.21
0.06,84.23,23.208
0.05,84.31,23.207
0.07,83.45,23.206
-0.01,83.8,23.204
-0.01,83.4,23.198
-0.01,83.8,23.194
-0.02,83.65,23.194
-0.05,84.03,23.193
-0.04,84.39,23.189
0.02,84.06,23.183
0.01,83.65,23.176
-0.08,83.47,23.173
-0.03,83.68,23.167
-0.03,83.63,23.165
0.0,83.52,23.158
-0.01,84.08,23.157
-0.02,84.51,23.156
-0.02,84.84,23.152
-0.01,85.51,23.145
-0.02,86.55,23.145
-0.02,85.91,23.147
-0.01,85.63,23.149
0.01,84.92,23.148
0.05,84.57,23.146
0.07,84.29,23.145
0.08,84.46,23.14
0.1,84.31,23.14
0.08,84.13,23.143
0.08,84.44,23.141
0.04,84.21,23.136
-0.02,84.49,23.128
-0.04,84.01,23.123
-0.09,84.51,23.119
-0.1,84.44,23.118
-0.1,85.05,23.12
-0.05,84.87,23.121
-0.035,84.73,23.116999999999997
-0.02,84.59,23.113
-0.04,83.68,23.107
-0.02,83.29,23.099
-0.01,83.19,23.095
-0.01,83.37,23.096
0.04,83.57,23.094
0.03,82.63,23.091
0.0,82.63,23.089
-0.01,83.12,23.086
-0.005,83.005,23.083
0.0,82.89,23.08
-0.03,83.32,23.075
-0.04,83.02,23.068
0.04,83.24,23.067
-0.05,83.52,23.066
-0.01,83.35,23.066
0.0,83.83,23.069
0.05,83.09,23.068
-0.04,82.48,23.066
-0.01,81.75,23.064
-0.03,82.91,23.06
-0.02,82.71,23.059
-0.02,81.85,23.055
-0.05,81.57,23.055
-0.02,81.62,23.061
-0.01,81.92,23.062
-0.03,82.02,23.06
0.01,81.24,23.063
-0.02,81.39,23.065
-0.02,80.75,23.059
0.01,81.06,23.051
-0.024999999999999994,81.555,23.055
-0.06,82.05,23.059
-0.04,81.97,23.067
-0.02,82.2,23.066
-0.02,81.77,23.061
-0.02,81.34,23.064
0.05,82.08,23.073
0.17,82.35,23.088
0.03,82.02,23.098
0.1,81.9,23.11
0.16,82.51,23.122
0.02,81.82,23.123
0.03,81.41,23.134
-0.07,81.39,23.145
-0.05500000000000001,81.47999999999999,23.148
-0.04,81.57,23.151
-0.05,82.0,23.154
-0.04,82.28,23.155
-0.07,81.62,23.162
0.01,81.36,23.169
-0.07,81.08,23.18
-0.1,80.83,23.178
-0.02,81.06,23.186
-0.03,81.26,23.192
-0.02,81.87,23.185
-0.015,81.81,23.180999999999997
-0.01,81.75,23.177
-0.02,81.34,23.179
-0.02,81.69,23.173
-0.03,81.69,23.173
-0.0049999999999999975,81.83,23.161499999999997
0.02,81.97,23.15
0.02,82.2,23.134
0.015,82.355,23.130000000000003
0.01,82.51,23.126
0.04,82.58,23.118
0.04,82.28,23.109
0.1,82.99,23.098
0.01,82.94,23.092
0.01,82.53,23.085
0.01,83.04,23.082
0.04,83.42,23.084
0.01,83.17,23.075
0.02,83.5,23.071
0.01,83.4,23.075
0.03,83.8,23.071
0.04,84.11,23.063
0.01,84.36,23.062
0.02,84.46,23.072
0.02,84.72,23.073
0.04,84.77,23.072
0.01,84.51,23.064
0.02,84.69,23.056
0.02,84.16,23.055
0.0,84.21,23.053
0.03,84.67,23.048
0.02,84.84,23.043
0.03,84.66333333333334,23.038999999999998
0.04,84.48666666666666,23.035
0.05,84.31,23.031
0.060000000000000005,84.52333333333334,23.027666666666665
0.07,84.73666666666666,23.024333333333335
0.08,84.95,23.021
0.01,84.62,23.014
-0.01,84.59,23.013
0.05,84.34,23.012
0.05,84.34,23.008
0.01,84.21,23.002
0.045000000000000005,84.32499999999999,22.999499999999998
0.08,84.44,22.997
0.04,84.21,22.993
0.02,84.34,22.983
-0.07,84.18,22.971
-0.015,83.86500000000001,22.964
0.04,83.55,22.957
0.01,83.65,22.951
0.02,83.93,22.945
0.01,83.93,22.936
0.04,84.31,22.932
0.0,84.77,22.932
-0.01,84.54,22.932
-0.06,84.39,22.929
-0.04,84.18,22.923
0.04,84.57,22.92
0.06,84.54,22.915
-0.02,84.87,22.909
0.07,85.02,22.907
0.01,84.84,22.902
0.01,85.0,22.898
0.01,85.05,22.893
0.005,84.975,22.8885
